epoch: 0	train ppl: 325.5585521381428	val ppl: 176.75393250646673	best val: 176.75393250646673	time (s) spent in epoch: 19.098730087280273
epoch: 1	train ppl: 124.83134869747339	val ppl: 138.65466968407515	best val: 138.65466968407515	time (s) spent in epoch: 18.33258366584778
epoch: 2	train ppl: 81.4586875347356	val ppl: 131.30322272373022	best val: 131.30322272373022	time (s) spent in epoch: 18.553793907165527
epoch: 3	train ppl: 59.36510942282634	val ppl: 137.19290896837933	best val: 131.30322272373022	time (s) spent in epoch: 18.57832384109497
epoch: 4	train ppl: 45.17175365716625	val ppl: 148.45139250651815	best val: 131.30322272373022	time (s) spent in epoch: 18.48381543159485
epoch: 5	train ppl: 35.24334596933399	val ppl: 166.4378352214634	best val: 131.30322272373022	time (s) spent in epoch: 18.346601724624634
epoch: 6	train ppl: 28.092780800920302	val ppl: 190.33102311106433	best val: 131.30322272373022	time (s) spent in epoch: 18.33593773841858
epoch: 7	train ppl: 22.75977290851269	val ppl: 217.33224340821613	best val: 131.30322272373022	time (s) spent in epoch: 18.36401653289795
epoch: 8	train ppl: 18.817655387437274	val ppl: 251.13495308649328	best val: 131.30322272373022	time (s) spent in epoch: 18.80655813217163
epoch: 9	train ppl: 15.864724383020757	val ppl: 291.20854555297586	best val: 131.30322272373022	time (s) spent in epoch: 18.49434995651245
epoch: 10	train ppl: 13.539320930555473	val ppl: 341.23578230965836	best val: 131.30322272373022	time (s) spent in epoch: 18.459829807281494
epoch: 11	train ppl: 11.817604431638571	val ppl: 396.8586145633038	best val: 131.30322272373022	time (s) spent in epoch: 18.33890199661255
epoch: 12	train ppl: 10.404945246272208	val ppl: 460.32648323535307	best val: 131.30322272373022	time (s) spent in epoch: 18.38630223274231
epoch: 13	train ppl: 9.314917354122157	val ppl: 536.2515961396703	best val: 131.30322272373022	time (s) spent in epoch: 18.346835374832153
epoch: 14	train ppl: 8.42902146724999	val ppl: 611.9691397017427	best val: 131.30322272373022	time (s) spent in epoch: 18.413349866867065
epoch: 15	train ppl: 7.751573002806601	val ppl: 710.2036273566085	best val: 131.30322272373022	time (s) spent in epoch: 18.533454418182373
epoch: 16	train ppl: 7.13503668066446	val ppl: 809.7626367973209	best val: 131.30322272373022	time (s) spent in epoch: 18.46949052810669
epoch: 17	train ppl: 6.636589547493683	val ppl: 923.6965647246286	best val: 131.30322272373022	time (s) spent in epoch: 18.811812162399292
epoch: 18	train ppl: 6.210151459001616	val ppl: 1018.8916490746767	best val: 131.30322272373022	time (s) spent in epoch: 18.455299854278564
epoch: 19	train ppl: 5.8640215740179755	val ppl: 1124.872144956197	best val: 131.30322272373022	time (s) spent in epoch: 18.365562200546265
epoch: 20	train ppl: 5.541902933453354	val ppl: 1258.1692476549622	best val: 131.30322272373022	time (s) spent in epoch: 18.80235457420349
epoch: 21	train ppl: 5.273245912012786	val ppl: 1376.079959676736	best val: 131.30322272373022	time (s) spent in epoch: 18.835967302322388
epoch: 22	train ppl: 5.036117730104098	val ppl: 1530.7980243013317	best val: 131.30322272373022	time (s) spent in epoch: 18.78494644165039
epoch: 23	train ppl: 4.823282030699865	val ppl: 1736.8996921203764	best val: 131.30322272373022	time (s) spent in epoch: 18.696242332458496
epoch: 24	train ppl: 4.63813331884729	val ppl: 1912.11683601032	best val: 131.30322272373022	time (s) spent in epoch: 18.504741668701172
epoch: 25	train ppl: 4.453610896152348	val ppl: 2080.4774016381625	best val: 131.30322272373022	time (s) spent in epoch: 19.164464712142944
epoch: 26	train ppl: 4.297746326780736	val ppl: 2306.042634514785	best val: 131.30322272373022	time (s) spent in epoch: 19.131787538528442
epoch: 27	train ppl: 4.15777138221847	val ppl: 2470.413421170744	best val: 131.30322272373022	time (s) spent in epoch: 18.535789489746094
epoch: 28	train ppl: 4.038371784073328	val ppl: 2672.8463732900173	best val: 131.30322272373022	time (s) spent in epoch: 18.363130569458008
epoch: 29	train ppl: 3.9156512335632185	val ppl: 2891.2943808780065	best val: 131.30322272373022	time (s) spent in epoch: 19.08878183364868
epoch: 30	train ppl: 3.8089831863771755	val ppl: 3101.037867097565	best val: 131.30322272373022	time (s) spent in epoch: 19.06234312057495
epoch: 31	train ppl: 3.7267420387990713	val ppl: 3305.3422311162763	best val: 131.30322272373022	time (s) spent in epoch: 18.775651693344116
epoch: 32	train ppl: 3.628777306361299	val ppl: 3610.153535891969	best val: 131.30322272373022	time (s) spent in epoch: 18.839142084121704
epoch: 33	train ppl: 3.541272664732588	val ppl: 3823.905228858358	best val: 131.30322272373022	time (s) spent in epoch: 18.574137687683105
epoch: 34	train ppl: 3.464211124303742	val ppl: 4016.8325440294184	best val: 131.30322272373022	time (s) spent in epoch: 18.55294132232666
epoch: 35	train ppl: 3.3898470675266044	val ppl: 4406.788912883462	best val: 131.30322272373022	time (s) spent in epoch: 18.729700088500977
epoch: 36	train ppl: 3.323909644100439	val ppl: 4525.16572429999	best val: 131.30322272373022	time (s) spent in epoch: 18.50706124305725
epoch: 37	train ppl: 3.26289039922724	val ppl: 4864.071176111684	best val: 131.30322272373022	time (s) spent in epoch: 19.271378993988037
epoch: 38	train ppl: 3.2015309516705925	val ppl: 4962.548351444312	best val: 131.30322272373022	time (s) spent in epoch: 18.502622842788696
epoch: 39	train ppl: 3.142066866650672	val ppl: 5302.886908301305	best val: 131.30322272373022	time (s) spent in epoch: 18.782008409500122
