epoch: 0	train ppl: 567.7144034757455	val ppl: 350.1291732152406	best val: 350.1291732152406	time (s) spent in epoch: 126.67682838439941
epoch: 1	train ppl: 344.4543122094033	val ppl: 276.8599536289897	best val: 276.8599536289897	time (s) spent in epoch: 125.4615867137909
epoch: 2	train ppl: 283.9234588850736	val ppl: 240.89935398784252	best val: 240.89935398784252	time (s) spent in epoch: 125.48393368721008
epoch: 3	train ppl: 248.92372729888427	val ppl: 219.0532281938854	best val: 219.0532281938854	time (s) spent in epoch: 125.5896520614624
epoch: 4	train ppl: 225.05777825898136	val ppl: 204.47956787609405	best val: 204.47956787609405	time (s) spent in epoch: 125.4751627445221
epoch: 5	train ppl: 207.46005387010118	val ppl: 193.086202064442	best val: 193.086202064442	time (s) spent in epoch: 130.83861923217773
epoch: 6	train ppl: 192.90216030899674	val ppl: 184.69565203237312	best val: 184.69565203237312	time (s) spent in epoch: 125.96886849403381
epoch: 7	train ppl: 181.06078273450635	val ppl: 179.06301903018604	best val: 179.06301903018604	time (s) spent in epoch: 125.98250317573547
epoch: 8	train ppl: 171.1241002032204	val ppl: 173.55117223902178	best val: 173.55117223902178	time (s) spent in epoch: 125.74037027359009
epoch: 9	train ppl: 162.51178545685482	val ppl: 169.83062234514216	best val: 169.83062234514216	time (s) spent in epoch: 125.55367946624756
epoch: 10	train ppl: 154.59366771680112	val ppl: 166.50159125531312	best val: 166.50159125531312	time (s) spent in epoch: 125.58047151565552
epoch: 11	train ppl: 148.02543870548	val ppl: 165.83435744531377	best val: 165.83435744531377	time (s) spent in epoch: 125.57785320281982
epoch: 12	train ppl: 141.96283648910136	val ppl: 162.7771290476847	best val: 162.7771290476847	time (s) spent in epoch: 127.26724576950073
epoch: 13	train ppl: 136.68959101490026	val ppl: 161.8506946736923	best val: 161.8506946736923	time (s) spent in epoch: 125.89451909065247
epoch: 14	train ppl: 131.75922207917466	val ppl: 158.2615232642962	best val: 158.2615232642962	time (s) spent in epoch: 126.94369196891785
epoch: 15	train ppl: 127.19264296927555	val ppl: 157.2347985893114	best val: 157.2347985893114	time (s) spent in epoch: 130.69247722625732
epoch: 16	train ppl: 123.25073689317142	val ppl: 157.79867683642703	best val: 157.2347985893114	time (s) spent in epoch: 125.84626531600952
epoch: 17	train ppl: 119.3413567533205	val ppl: 154.7521625244724	best val: 154.7521625244724	time (s) spent in epoch: 126.11619067192078
epoch: 18	train ppl: 115.79686116439596	val ppl: 153.79440452032136	best val: 153.79440452032136	time (s) spent in epoch: 126.04517912864685
epoch: 19	train ppl: 111.99213973942727	val ppl: 152.48610939227103	best val: 152.48610939227103	time (s) spent in epoch: 126.36467480659485
epoch: 20	train ppl: 108.93875209807358	val ppl: 154.1401307035797	best val: 152.48610939227103	time (s) spent in epoch: 126.26928758621216
epoch: 21	train ppl: 106.2234566765639	val ppl: 152.96652966492746	best val: 152.48610939227103	time (s) spent in epoch: 125.41165041923523
epoch: 22	train ppl: 103.11683881829741	val ppl: 152.6358491992508	best val: 152.48610939227103	time (s) spent in epoch: 125.27761697769165
epoch: 23	train ppl: 100.4560819543921	val ppl: 152.13892774326078	best val: 152.13892774326078	time (s) spent in epoch: 125.59169793128967
epoch: 24	train ppl: 97.95932796696843	val ppl: 154.21040967353733	best val: 152.13892774326078	time (s) spent in epoch: 125.32083940505981
epoch: 25	train ppl: 95.66458412327862	val ppl: 152.50357212222613	best val: 152.13892774326078	time (s) spent in epoch: 125.27372741699219
epoch: 26	train ppl: 93.26581666390568	val ppl: 152.66134181943832	best val: 152.13892774326078	time (s) spent in epoch: 125.43057799339294
epoch: 27	train ppl: 91.15713302993859	val ppl: 153.02973387555707	best val: 152.13892774326078	time (s) spent in epoch: 125.30353307723999
epoch: 28	train ppl: 88.87497921974776	val ppl: 152.38919214727414	best val: 152.13892774326078	time (s) spent in epoch: 125.28190231323242
epoch: 29	train ppl: 86.96724585538027	val ppl: 153.81318987493776	best val: 152.13892774326078	time (s) spent in epoch: 129.30767059326172
epoch: 30	train ppl: 85.07877728833184	val ppl: 156.10186519444107	best val: 152.13892774326078	time (s) spent in epoch: 126.14847898483276
epoch: 31	train ppl: 83.22739401551623	val ppl: 156.32154950594085	best val: 152.13892774326078	time (s) spent in epoch: 128.50069379806519
epoch: 32	train ppl: 81.35663465143277	val ppl: 157.77340896648246	best val: 152.13892774326078	time (s) spent in epoch: 130.68781781196594
epoch: 33	train ppl: 79.59337923749082	val ppl: 157.35393390299387	best val: 152.13892774326078	time (s) spent in epoch: 129.5065314769745
epoch: 34	train ppl: 78.15030566389147	val ppl: 158.41132884886147	best val: 152.13892774326078	time (s) spent in epoch: 130.2424840927124
epoch: 35	train ppl: 76.4773386192898	val ppl: 160.3994247647887	best val: 152.13892774326078	time (s) spent in epoch: 126.72333669662476
epoch: 36	train ppl: 75.0677474453507	val ppl: 160.36148424628635	best val: 152.13892774326078	time (s) spent in epoch: 128.5961046218872
epoch: 37	train ppl: 73.55958204221253	val ppl: 160.54249033038033	best val: 152.13892774326078	time (s) spent in epoch: 125.85560750961304
epoch: 38	train ppl: 72.40000644213703	val ppl: 164.48524028544026	best val: 152.13892774326078	time (s) spent in epoch: 126.71532440185547
epoch: 39	train ppl: 70.90034212062179	val ppl: 165.0641245983211	best val: 152.13892774326078	time (s) spent in epoch: 126.56249737739563
