epoch: 0	train ppl: 92036.63227724403	val ppl: 20006.993570136958	best val: 20006.993570136958	time (s) spent in epoch: 41.74394512176514
epoch: 1	train ppl: 2674.2155840565306	val ppl: 3117.932391615765	best val: 3117.932391615765	time (s) spent in epoch: 40.861403465270996
epoch: 2	train ppl: 913.3868203561406	val ppl: 612.651789308033	best val: 612.651789308033	time (s) spent in epoch: 40.86891460418701
epoch: 3	train ppl: 575.312762935674	val ppl: 478.9655525823666	best val: 478.9655525823666	time (s) spent in epoch: 40.848615407943726
epoch: 4	train ppl: 430.6315159501922	val ppl: 334.2303987300245	best val: 334.2303987300245	time (s) spent in epoch: 40.86807870864868
epoch: 5	train ppl: 335.4120584877754	val ppl: 296.64223012250716	best val: 296.64223012250716	time (s) spent in epoch: 40.854764461517334
epoch: 6	train ppl: 269.35920722680106	val ppl: 259.83009143204316	best val: 259.83009143204316	time (s) spent in epoch: 40.88266730308533
epoch: 7	train ppl: 227.34115027972808	val ppl: 236.9844724314267	best val: 236.9844724314267	time (s) spent in epoch: 40.92804265022278
epoch: 8	train ppl: 194.88950676897875	val ppl: 222.17129509622572	best val: 222.17129509622572	time (s) spent in epoch: 40.854995012283325
epoch: 9	train ppl: 168.34792058905603	val ppl: 206.3709475531012	best val: 206.3709475531012	time (s) spent in epoch: 40.87424612045288
epoch: 10	train ppl: 152.07704263905305	val ppl: 204.01162995792154	best val: 204.01162995792154	time (s) spent in epoch: 40.879249811172485
epoch: 11	train ppl: 135.99667021123466	val ppl: 182.98608696960378	best val: 182.98608696960378	time (s) spent in epoch: 40.86426758766174
epoch: 12	train ppl: 124.58776419259874	val ppl: 172.46907150955204	best val: 172.46907150955204	time (s) spent in epoch: 40.90311002731323
epoch: 13	train ppl: 116.14907234047546	val ppl: 194.11386692733734	best val: 172.46907150955204	time (s) spent in epoch: 40.644359827041626
epoch: 14	train ppl: 108.19517797022684	val ppl: 170.60797791874083	best val: 170.60797791874083	time (s) spent in epoch: 40.9007351398468
epoch: 15	train ppl: 87.80995079326274	val ppl: 177.70865701566044	best val: 170.60797791874083	time (s) spent in epoch: 40.6182496547699
epoch: 16	train ppl: 71.94164612257599	val ppl: 148.3416239261563	best val: 148.3416239261563	time (s) spent in epoch: 40.86877369880676
epoch: 17	train ppl: 59.566999921494215	val ppl: 153.52162547167245	best val: 148.3416239261563	time (s) spent in epoch: 40.740262508392334
epoch: 18	train ppl: 51.48937976362464	val ppl: 154.17399715455295	best val: 148.3416239261563	time (s) spent in epoch: 40.67294263839722
epoch: 19	train ppl: 46.59208807314297	val ppl: 156.92789075574683	best val: 148.3416239261563	time (s) spent in epoch: 40.67652201652527
epoch: 20	train ppl: 43.91582015762108	val ppl: 158.1317352493117	best val: 148.3416239261563	time (s) spent in epoch: 40.67525315284729
epoch: 21	train ppl: 42.470250091525685	val ppl: 157.91808233841576	best val: 148.3416239261563	time (s) spent in epoch: 40.70475459098816
epoch: 22	train ppl: 41.98451882637899	val ppl: 155.96524007076096	best val: 148.3416239261563	time (s) spent in epoch: 40.668235540390015
epoch: 23	train ppl: 41.70296771916805	val ppl: 154.81388040282303	best val: 148.3416239261563	time (s) spent in epoch: 40.6574981212616
epoch: 24	train ppl: 41.646459549757566	val ppl: 154.55547230259293	best val: 148.3416239261563	time (s) spent in epoch: 40.641944885253906
epoch: 25	train ppl: 41.640653508305455	val ppl: 154.5027610511803	best val: 148.3416239261563	time (s) spent in epoch: 40.6264123916626
epoch: 26	train ppl: 41.619483817734	val ppl: 154.493870595917	best val: 148.3416239261563	time (s) spent in epoch: 40.619643211364746
epoch: 27	train ppl: 41.6203042794459	val ppl: 154.49251826015845	best val: 148.3416239261563	time (s) spent in epoch: 40.72981381416321
epoch: 28	train ppl: 41.61164443206832	val ppl: 154.49243669943095	best val: 148.3416239261563	time (s) spent in epoch: 40.649977922439575
epoch: 29	train ppl: 41.62408062377735	val ppl: 154.49242617546918	best val: 148.3416239261563	time (s) spent in epoch: 40.64965200424194
epoch: 30	train ppl: 41.628610266788534	val ppl: 154.49241565150825	best val: 148.3416239261563	time (s) spent in epoch: 40.65804839134216
epoch: 31	train ppl: 41.614020125827224	val ppl: 154.49240512754793	best val: 148.3416239261563	time (s) spent in epoch: 40.68873405456543
epoch: 32	train ppl: 41.65022535525958	val ppl: 154.49240512754793	best val: 148.3416239261563	time (s) spent in epoch: 40.67836928367615
epoch: 33	train ppl: 41.57174618523	val ppl: 154.49240512754793	best val: 148.3416239261563	time (s) spent in epoch: 40.6847779750824
epoch: 34	train ppl: 41.67289883260549	val ppl: 154.49240512754793	best val: 148.3416239261563	time (s) spent in epoch: 40.692049980163574
epoch: 35	train ppl: 41.623422203332154	val ppl: 154.49240512754793	best val: 148.3416239261563	time (s) spent in epoch: 40.6719274520874
epoch: 36	train ppl: 41.614185157428295	val ppl: 154.49240512754793	best val: 148.3416239261563	time (s) spent in epoch: 40.67158055305481
epoch: 37	train ppl: 41.71077844923659	val ppl: 154.49240512754793	best val: 148.3416239261563	time (s) spent in epoch: 40.671698331832886
epoch: 38	train ppl: 41.63298924168186	val ppl: 154.49240512754793	best val: 148.3416239261563	time (s) spent in epoch: 40.633808851242065
epoch: 39	train ppl: 41.65807354155951	val ppl: 154.49240512754793	best val: 148.3416239261563	time (s) spent in epoch: 40.648191690444946
