epoch: 0	train ppl: 369.73644198277236	val ppl: 225.9693315378511	best val: 225.9693315378511	time (s) spent in epoch: 78.41138672828674
epoch: 1	train ppl: 185.63268074911153	val ppl: 171.45305433431815	best val: 171.45305433431815	time (s) spent in epoch: 76.2051055431366
epoch: 2	train ppl: 137.01241870042043	val ppl: 147.8738503970161	best val: 147.8738503970161	time (s) spent in epoch: 76.1006236076355
epoch: 3	train ppl: 108.56380239508894	val ppl: 134.76823176405975	best val: 134.76823176405975	time (s) spent in epoch: 75.54566884040833
epoch: 4	train ppl: 89.06986295791437	val ppl: 127.62001960578678	best val: 127.62001960578678	time (s) spent in epoch: 75.52488470077515
epoch: 5	train ppl: 74.7357041433951	val ppl: 124.19846193222479	best val: 124.19846193222479	time (s) spent in epoch: 75.44296026229858
epoch: 6	train ppl: 63.753767499080595	val ppl: 123.32886432447785	best val: 123.32886432447785	time (s) spent in epoch: 75.5305483341217
epoch: 7	train ppl: 54.87557301203563	val ppl: 124.37124362413499	best val: 123.32886432447785	time (s) spent in epoch: 75.37790250778198
epoch: 8	train ppl: 47.61817373683412	val ppl: 126.35420993744576	best val: 123.32886432447785	time (s) spent in epoch: 75.2440538406372
epoch: 9	train ppl: 41.553830466868554	val ppl: 130.04593721910584	best val: 123.32886432447785	time (s) spent in epoch: 74.90125370025635
epoch: 10	train ppl: 36.3316883647546	val ppl: 136.0521375463291	best val: 123.32886432447785	time (s) spent in epoch: 74.90385365486145
epoch: 11	train ppl: 31.876664502555176	val ppl: 141.9066576014841	best val: 123.32886432447785	time (s) spent in epoch: 75.13738560676575
epoch: 12	train ppl: 28.05901742952309	val ppl: 150.0530193753697	best val: 123.32886432447785	time (s) spent in epoch: 75.23620843887329
epoch: 13	train ppl: 24.689144577467665	val ppl: 157.95805297518052	best val: 123.32886432447785	time (s) spent in epoch: 75.08591818809509
epoch: 14	train ppl: 21.760831635245356	val ppl: 168.9341071819584	best val: 123.32886432447785	time (s) spent in epoch: 75.90625262260437
epoch: 15	train ppl: 19.26513128426502	val ppl: 181.28136247885286	best val: 123.32886432447785	time (s) spent in epoch: 75.70130801200867
epoch: 16	train ppl: 17.063850319159723	val ppl: 195.49521992898363	best val: 123.32886432447785	time (s) spent in epoch: 75.48149371147156
epoch: 17	train ppl: 15.152138706173211	val ppl: 212.61529278696446	best val: 123.32886432447785	time (s) spent in epoch: 74.92965340614319
epoch: 18	train ppl: 13.525685344992054	val ppl: 231.82379290785664	best val: 123.32886432447785	time (s) spent in epoch: 74.79230546951294
epoch: 19	train ppl: 12.102507675287832	val ppl: 251.54178216441557	best val: 123.32886432447785	time (s) spent in epoch: 74.76549077033997
epoch: 20	train ppl: 10.8701300423123	val ppl: 275.0342161174818	best val: 123.32886432447785	time (s) spent in epoch: 74.81170558929443
epoch: 21	train ppl: 9.799228511769755	val ppl: 300.7169714030841	best val: 123.32886432447785	time (s) spent in epoch: 74.84402370452881
epoch: 22	train ppl: 8.878117236852793	val ppl: 330.5633862179012	best val: 123.32886432447785	time (s) spent in epoch: 74.95075678825378
epoch: 23	train ppl: 8.06547166238482	val ppl: 362.10471780694587	best val: 123.32886432447785	time (s) spent in epoch: 75.35569024085999
epoch: 24	train ppl: 7.371481934925657	val ppl: 398.22876369660685	best val: 123.32886432447785	time (s) spent in epoch: 74.86320805549622
epoch: 25	train ppl: 6.759295541558242	val ppl: 434.25037689423124	best val: 123.32886432447785	time (s) spent in epoch: 75.15094566345215
epoch: 26	train ppl: 6.221398957602745	val ppl: 475.6364667422046	best val: 123.32886432447785	time (s) spent in epoch: 75.25477313995361
epoch: 27	train ppl: 5.763862968885933	val ppl: 529.5634040556175	best val: 123.32886432447785	time (s) spent in epoch: 75.8588376045227
epoch: 28	train ppl: 5.342867233777712	val ppl: 574.254180245465	best val: 123.32886432447785	time (s) spent in epoch: 75.98985600471497
epoch: 29	train ppl: 4.989578675081238	val ppl: 633.2692063681558	best val: 123.32886432447785	time (s) spent in epoch: 75.79277777671814
epoch: 30	train ppl: 4.669989225835998	val ppl: 693.9185642123184	best val: 123.32886432447785	time (s) spent in epoch: 75.7476806640625
epoch: 31	train ppl: 4.386110220179016	val ppl: 768.3149073269511	best val: 123.32886432447785	time (s) spent in epoch: 74.96453499794006
epoch: 32	train ppl: 4.125508987009255	val ppl: 831.6441148835677	best val: 123.32886432447785	time (s) spent in epoch: 74.95974135398865
epoch: 33	train ppl: 3.9087011332175807	val ppl: 901.4191502866389	best val: 123.32886432447785	time (s) spent in epoch: 74.94485092163086
epoch: 34	train ppl: 3.7118440950131903	val ppl: 969.8791802883225	best val: 123.32886432447785	time (s) spent in epoch: 74.9407148361206
epoch: 35	train ppl: 3.5368702988597485	val ppl: 1074.5936388434009	best val: 123.32886432447785	time (s) spent in epoch: 74.95275163650513
epoch: 36	train ppl: 3.3760853445268704	val ppl: 1177.0452135395499	best val: 123.32886432447785	time (s) spent in epoch: 74.92126369476318
epoch: 37	train ppl: 3.23283743114191	val ppl: 1271.1567588798941	best val: 123.32886432447785	time (s) spent in epoch: 74.90704274177551
epoch: 38	train ppl: 3.1092927408186863	val ppl: 1370.1638055311976	best val: 123.32886432447785	time (s) spent in epoch: 75.02670288085938
epoch: 39	train ppl: 2.986894988587214	val ppl: 1469.6900163607686	best val: 123.32886432447785	time (s) spent in epoch: 74.97965836524963
